Source,Year,Value
Bioenergy,2010,0.085814552
Geothermal,2010,0.055330241
Hydro,2010,0.044163976
Offshore wind,2010,0.207873024
Onshore wind,2010,0.112679616
Solar photovoltaic,2010,0.416956154
Solar thermal,2010,0.401626089
Bioenergy,2011,0.082245058
Geothermal,2011,
Hydro,2011,0.041529306
Offshore wind,2011,0.215367025
Onshore wind,2011,0.106706337
Solar photovoltaic,2011,0.349902438
Solar thermal,2011,0.38888299
Bioenergy,2012,0.07047066
Geothermal,2012,0.095286365
Hydro,2012,0.043207026
Offshore wind,2012,0.185081644
Onshore wind,2012,0.097705436
Solar photovoltaic,2012,0.260022117
Solar thermal,2012,0.379323937
Bioenergy,2013,0.090375325
Geothermal,2013,0.070742399
Hydro,2013,0.04828864
Offshore wind,2013,0.156020711
Onshore wind,2013,0.098456898
Solar photovoltaic,2013,0.200220818
Solar thermal,2013,0.279589043
Bioenergy,2014,0.090554595
Geothermal,2014,0.072155967
Hydro,2014,0.037728364
Offshore wind,2014,0.189963963
Onshore wind,2014,0.087883447
Solar photovoltaic,2014,0.182865978
Solar thermal,2014,0.242865718
Bioenergy,2015,0.079669776
Geothermal,2015,0.064922787
Hydro,2015,0.041542209
Offshore wind,2015,0.154948366
Onshore wind,2015,0.075816181
Solar photovoltaic,2015,0.13510517
Solar thermal,2015,0.251364463
Bioenergy,2016,0.077861591
Geothermal,2016,0.074959464
Hydro,2016,0.05496526
Offshore wind,2016,0.128386135
Onshore wind,2016,0.070178496
Solar photovoltaic,2016,0.118348812
Solar thermal,2016,0.27903509
Bioenergy,2017,0.077738718
Geothermal,2017,0.07842441
Hydro,2017,0.057614862
Offshore wind,2017,0.116625756
Onshore wind,2017,0.065776774
Solar photovoltaic,2017,0.092944753
Solar thermal,2017,0.232843031
Bioenergy,2018,0.059894048
Geothermal,2018,0.075689956
Hydro,2018,0.045250614
Offshore wind,2018,0.114166207
Onshore wind,2018,0.055872435
Solar photovoltaic,2018,0.078640442
Solar thermal,2018,0.166988217
Bioenergy,2019,0.070282785
Geothermal,2019,0.074699235
Hydro,2019,0.046388921
Offshore wind,2019,0.094945507
Onshore wind,2019,0.048891214
Solar photovoltaic,2019,0.068642038
Solar thermal,2019,0.238028801
Bioenergy,2020,0.079332447
Geothermal,2020,0.062746898
Hydro,2020,0.052205855
Offshore wind,2020,0.091455409
Onshore wind,2020,0.040604115
Solar photovoltaic,2020,0.06099978
Solar thermal,2020,0.119094223
Bioenergy,2021,0.073504649
Geothermal,2021,0.075067074
Hydro,2021,0.054501816
Offshore wind,2021,0.08192627
Onshore wind,2021,0.036129906
Solar photovoltaic,2021,0.054526169
Solar thermal,2021,0.126750233
Bioenergy,2022,0.063895188
Geothermal,2022,0.058841214
Hydro,2022,0.062644769
Offshore wind,2022,0.080760695
Onshore wind,2022,0.034220504
Solar photovoltaic,2022,0.051091638
Solar thermal,2022,0.124412112
Bioenergy,2023,0.072727327
Geothermal,2023,0.072444153
Hydro,2023,0.05842002
Offshore wind,2023,0.076451564
Onshore wind,2023,0.033128559
Solar photovoltaic,2023,0.042377861
Solar thermal,2023,0.119597024
Bioenergy,2024,0.086697115
Geothermal,2024,0.059874233
Hydro,2024,0.056526273
Offshore wind,2024,0.079117441
Onshore wind,2024,0.034055825
Solar photovoltaic,2024,0.04261977
Solar thermal,2024,0.091843488
